ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
30FD6AFAFF	T	TILZO	T,*p5{ILZO=1}	1		v115@9gwhEeBthlwhFeBtglwhRpEewwglwhRpDeywJeAgH		[^ILZO]!,*p3	100.00%	1260/1260	30FD6BAEFF
30FD6BAEFF	T	TIJSO	T,*p5{IJSO=1}	1		v115@9gh0R4Eewhg0R4Fewhg0wwEeRpwhywDeRpwhJeAgH		[^IJSO]!,*p3	100.00%	1260/1260	30FD6AFAFF
30FDAABFF8	T	TILJ	T,[TILJ]!{2:J=1},[SZO]!,[^SZ]	1	30FE2FBFFF	v115@FhhlIeglg0zhCewwgli0DeywJeAgH		T,[SZO]!,*p3{/^[^SZ]/}	100.00%	900/900	30FDAABFFA
30FDAABFF9	T	TILJ	T,[TILJ]!{2:J=1},[SZO]!,[SZ]	1	30FE2FBFFF	v115@FhhlIeglg0Gewwgli0zhywJeAgH		T,[SZO]!,*p3{/^[SZ]/}	100.00%	360/360	30FDAABFFB
30FDAABFFA	T	TILJ	T,[TILJ]!{2:L=1},[SZO]!,[^SZ]	1	30FE2EFFFF	v115@9gh0Heg0Ieg0wwCezhglywDeilJeAgH		T,[SZO]!,*p3{/^[^SZ]/}	100.00%	360/360	30FDAABFF8
30FDAABFFB	T	TILJ	T,[TILJ]!{2:L=1},[SZO]!,[SZ]	1	30FE2EFFFF	v115@9gh0Heg0Ieg0wwGeglywzhilJeAgH		T,[SZO]!,*p3{/^[SZ]/}	100.00%	360/360	30FDAABFF9
30FDAABFFC	T	TILJ	T,[TI]!LJ,[SZO]!,ZI	1	30FDEAFFFB	v115@9gglBeg0FeglBeg0Eewwhlh0DexwzhEewwJeAgH		T,[SZO]!,ZI,[^IZ]	100.00%	30/30	30FDAABFFD
30FDAABFFD	T	TILJ	T,[TI]!JL,[SZO]!,SI	1	30FDEBBFFB	v115@DhglBeg0wwEeglBeg0xwDehlh0wwEezhJeAgH		T,[SZO]!,SI,[^IS]	100.00%	30/30	30FDAABFFC
30FDAABFFE	T	TILJ	T,*p4{ILJ=1}	3CFFFF03FFFFFFFFFFFCF3CF		v115@FhhlIeglg0zhCewwgli0DeywJeAgH9gh0FehWg0Heg?WAeAtSayhAPAeSaDeySJeAgH		[^ILJ]!,*p3	99.05%	4992/5040	NULL
30FDAABFFF	T	TILJ	T,*p4{ILJ=1}	1		v115@FhhlIeglg0Gewwgli0zhywJeAgH		[^ILJ]!,*p3	98.29%	4954/5040	NULL
30FDAAEFFF	T	TILS	T,*p4{ILS=1}	1		v115@9gwhGehlwhHeglwhEeR4wwglwhDeR4ywJeAgH		[^ILS]!,*p3	99.05%	4992/5040	30FDABBBFF
30FDAAFBFE	T	TILZ	T,*p4{ILZ=1}	34FF0783FFFFFCD3578FF54D		v115@9gzhFeilGeglwwBtFeywBtOeAgH		[^ILZ]!,*p3	100.00%	5040/5040	30FDABAFFE
30FDAAFBFF	T	TILZ	T,*p4{ILZ=1}	1		v115@9gwhEeBthlwhFeBtglwhGewwglwhFeywJeAgH		[^ILZ]!,*p3	99.68%	5024/5040	30FDABAFFF
30FDAAFEFF	T	TILO	T,*p4{ILO=1}	1		v115@9gwhGehlwhHeglwhRpEewwglwhRpDeywJeAgH		[^ILO]!,*p3	100.00%	5040/5040	30FDABBEFF
30FDABAFFE	T	TIJS	T,*p4{IJS=1}	343FCF00DFFFFFF4F1FF534D		v115@DhzhGei0FeR4wwg0EeR4ywJeAgH		[^IJS]!,*p3	100.00%	5040/5040	30FDAAFBFE
30FDABAFFF	T	TIJS	T,*p4{IJS=1}	1		v115@9gh0R4Eewhg0R4Fewhg0wwGewhywFewhJeAgH		[^IJS]!,*p3	99.68%	5024/5040	30FDAAFBFF
30FDABBBFF	T	TIJZ	T,*p4{IJZ=1}	1		v115@9gh0Gewhg0Hewhg0wwBtEewhywBtDewhJeAgH		[^IJZ]!,*p3	99.05%	4992/5040	30FDAAEFFF
30FDABBEFF	T	TIJO	T,*p4{IJO=1}	1		v115@9gh0Gewhg0Hewhg0wwEeRpwhywDeRpwhJeAgH		[^IJO]!,*p3	100.00%	5040/5040	30FDAAFEFF
30FDABEBFE	T	TISZ	T,*p4{ISZ=1}	000FFFF0003FFFFFFFFFFFC0		v115@9gwwBtGexwBtFewwR4GeR4zhNeAgH9gQLBPDeR4wwR?LBPBeR4xwQLxDDeBtwwxDRaBexhBtJeAgH		[^ISZ]!,*p3	100.00%	5040/5040	NULL
30FDABEBFF	T	TISZ	T,*p4{ISZ=1}	1		v115@9gwhBtGewhwwBtFewhxwR4EewhwwR4PeAgH		[^ISZ]!,*p3	99.88%	5034/5040	NULL
30FDABEEFF	T	TISO	T,*p4{ISO=1}	1		v115@9gwhBeR4EewhAeR4FewhAewwEeRpwhywDeRpJeAgH		[^ISO]!,*p3	100.00%	5040/5040	30FDABFAFF
30FDABFAFF	T	TIZO	T,*p4{IZO=1}	1		v115@ChBtBewhFeBtAewhRpEewwAewhRpDeywwhJeAgH		[^IZO]!,*p3	100.00%	5040/5040	30FDABEEFF
30FDAEAFFF	T	TLJS	T,*p4{LJS=1}	1		v115@9gh0R4Feg0R4Geg0wwGeglywDeilJeAgH		[^LJS]!,*p3	100.00%	5040/5040	30FDAEBBFF
30FDAEBBFF	T	TLJZ	T,*p4{LJZ=1}	1		v115@DhBthlGeBtglg0Gewwgli0DeywJeAgH		[^LJZ]!,*p3	100.00%	5040/5040	30FDAEAFFF
